Compound Name	HT29_Ctrl1	HT29_Ctrl2	HT29_Ctrl3	HT29_Ctrl4	HT29_Ctrl5	HT29_Met1	HT29_Met2	HT29_Met3	HT29_Met4	HT29_Met5	HT29_Met6
S-Adenosylhomocysteine	0.204642841	0.266008526	0.325470769	0.301868585	0.41223826	0.087033024	0.110937776	0.111273124	0.083357975	0.088773711	0.094033987
S-Adenosylmethionine	1.487283249	2.830694585	2.371983171	2.373059341	3.8329678	2.13908421	1.648067189	2.280345876	1.565681119	2.224258706	2.227755397
Sarcosine	1.094704991	1.325845336	1.418054316	1.114351297	1.62949373	0.575675027	0.611131209	0.707214284	0.58525508	0.563490165	0.486259025
Serine	1.048378625	0.930921092	1.383599004	0.843685193	1.081535495	0.762800102	1.249528214	1.159645941	0.924002978	0.745429817	0.885630368
Spermidine	33.68745516	47.2021515	48.02778461	39.72050279	57.0860574	15.28510929	18.96439826	21.29944776	15.84864677	15.17040132	16.18063186
Spermine	45.00696509	62.80339064	61.89150014	51.88285918	74.76113653	14.18894505	15.13792911	17.95272417	13.67501619	13.42343378	13.29757881
Succinic acid	0.041865595	0.058234741	0.060853514	0.050944391	0.135865155	0.023657386	0.024656499	0.026747425	0.02094434	0.02318068	0.0221455
Symmetric dimethylarginine	0.238651652	0.32137466	0.343769582	0.265549128	0.380669041	0.013325969	0.011523266	0.016945459	0.010312039	0.012697871	0.007512908
Taurine	3.1334904	3.950917018	4.246135343	3.061273689	4.602819946	1.29103174	1.359572668	1.609104276	1.325954392	1.342867793	1.150042146
Threonine	1.134861892	1.461175754	2.317929494	1.089302362	2.040813959	0.498223639	0.594491678	0.591901672	0.477362212	0.446067956	0.251320626
Thymidine monophosphate	0.059015301	0.058455951	0.057134261	0.051762331	0.062080222	0.037694942	0.042518016	0.056111247	0.040718685	0.046028247	0.051328218
Thymidine	0.003096425	0.002764301	0.003670574	0.002543342	0.003132927	0.001653029	0.001633845	0.001696284	0.002201145	0.001862478	0.001296344
Tryptophan	1.877989308	2.299300468	2.398620937	2.009089879	3.044967406	1.000562058	1.27491563	1.2544441	1.008865817	0.990489695	1.158950103
Tyrosine	6.277288306	7.913367612	8.381807652	6.762127933	10.15700958	2.795140813	3.486504809	3.648802454	2.885009626	2.719406229	2.900666973
Uracil	0.0471493	0.052452558	0.071989992	0.057650752	0.083901924	0.048437344	0.075744101	0.070300914	0.048595357	0.040326963	0.044472173
Uric acid	0.000289732	0.000352417	0.000533592	0.000386894	0.000482588	0.000819099	0.001680649	0.001433672	0.001260668	0.001066657	0.001233399
Uridine	0.292663404	0.353868366	0.412700252	0.374221533	0.606655052	0.077620709	0.187125407	0.127538048	0.088438119	0.106129092	0.111263914
Valine	9.745721243	10.5646581	12.57660131	9.293789425	12.90071243	7.490299186	8.999893976	9.391125474	7.811465211	7.059553436	7.410762508
Xanthine	0.016350276	0.02730758	0.023839755	0.019478074	0.034381911	0.022015967	0.028775093	0.02630312	0.018394098	0.021953992	0.022330267
